probe_id,dataset,implementation_dataset_id,role,fold,arm,latent_constraints,node_id,true_label,gold_cosine,centered_cosine,prediction_margin,rank,mrr,recall_at_1,recall_at_5,match_acc,exact,judge_acc,judge_status,decoder_alpha,decoded_words
himi,himi,himi,dev,0,core,True,Category_Switch,category switch task,0.8844707799948752,0.3803941300143179,-0.11027784766002058,3,0.3333333333333333,0,1,0,0,,pending,0.0004426724175961224,"[""switching function"", ""code switching"", ""assigned task"", ""number prefix"", ""letter scale"", ""multi task""]"
himi,himi,himi,dev,0,core,True,Color_Shape,color-shape task switching,0.885873510277894,0.34379759629776857,-0.10666519071402203,2,0.5,0,1,0,0,,pending,0.0004426724175961224,"[""switching function"", ""code switching"", ""number prefix"", ""letter scale"", ""assigned task"", ""multi task""]"
himi,himi,himi,dev,0,core,True,Letter_Memory,letter memory updating,0.9077072693743271,0.4414777498960847,-0.06480215628803476,3,0.3333333333333333,0,1,1,0,,pending,0.0004426724175961224,"[""updating information"", ""working memory"", ""memory management function"", ""commit to memory"", ""updating software version"", ""backdating""]"
himi,himi,himi,dev,0,core,True,RI_N,relational integration numerical,0.9308731346143422,0.6775326352151033,-0.05385400857494449,3,0.3333333333333333,0,1,1,0,,pending,0.0004426724175961224,"[""relational"", ""relational adjective"", ""social integration"", ""integrating"", ""horizontal integration"", ""relational algebra""]"
himi,himi,himi,dev,0,raw_correlation,True,Category_Switch,category switch task,0.9082782157547712,-0.18159269943143547,-0.027267338533142116,14,0.07142857142857142,0,0,0,0,,pending,0.0004426724175961224,"[""working memory"", ""mixed inhibition"", ""switching function"", ""event related potential"", ""reciprocal inhibition"", ""nonrapid eye movement""]"
himi,himi,himi,dev,0,raw_correlation,True,Color_Shape,color-shape task switching,0.9181120614774672,0.007643589015209697,-0.03393344574471846,7,0.14285714285714285,0,0,0,0,,pending,0.0004426724175961224,"[""working memory"", ""updating information"", ""switching function"", ""multi task"", ""commit to memory"", ""split-brain technique""]"
himi,himi,himi,dev,0,raw_correlation,True,Letter_Memory,letter memory updating,0.922068952919562,0.0963744189208149,-0.024147755047140618,6,0.16666666666666666,0,0,1,0,,pending,0.0004426724175961224,"[""working memory"", ""reciprocal inhibition"", ""mixed inhibition"", ""memory span"", ""updating information"", ""event related potential""]"
himi,himi,himi,dev,0,raw_correlation,True,RI_N,relational integration numerical,0.8941516830727956,-0.019642211057844448,-0.04714868288137686,17,0.058823529411764705,0,0,1,0,,pending,0.0004426724175961224,"[""working memory"", ""mixed inhibition"", ""split-brain technique"", ""reciprocal inhibition"", ""event related potential"", ""committal to memory""]"
himi,himi,himi,dev,0,uniform,True,Category_Switch,category switch task,0.8997873568175216,-0.5909157429114075,-0.03497194455229713,16,0.0625,0,0,0,0,,pending,0.0004426724175961224,"[""working memory"", ""mixed inhibition"", ""reciprocal inhibition"", ""event related potential"", ""attention span"", ""split-brain technique""]"
himi,himi,himi,dev,0,uniform,True,Color_Shape,color-shape task switching,0.9114338159193954,-0.5429483783079461,-0.023325485450447547,13,0.07692307692307693,0,0,0,0,,pending,0.0004426724175961224,"[""working memory"", ""mixed inhibition"", ""reciprocal inhibition"", ""event related potential"", ""attention span"", ""split-brain technique""]"
himi,himi,himi,dev,0,uniform,True,Letter_Memory,letter memory updating,0.9152952080102084,-0.2661441192841943,-0.01946409335964272,11,0.09090909090909091,0,0,0,0,,pending,0.0004426724175961224,"[""working memory"", ""mixed inhibition"", ""reciprocal inhibition"", ""event related potential"", ""attention span"", ""split-brain technique""]"
himi,himi,himi,dev,0,uniform,True,RI_N,relational integration numerical,0.8878337652720412,-0.296929587323038,-0.04692553609775285,17,0.058823529411764705,0,0,1,0,,pending,0.0004426724175961224,"[""working memory"", ""mixed inhibition"", ""reciprocal inhibition"", ""event related potential"", ""attention span"", ""split-brain technique""]"
